,Name,Gender,Wikipage?,Year created,month created,page author,disambiguation notes
293,Hitoshi Kawakatsu ,m,no,,,,
294,Sheryl Luzzadder-Beach ,f,no,,,,
295,Vicki McConnell ,f,no,,,,
296,Carolyn Olson ,f,no,,,,
297,Lewis A. Owen ,m,no,,,,
298,David Sandwell ,m,no,,,,
299,Nathan Dale Sheldon ,m,no,,,,
300,May Yuan ,f,no,,,,
304,Marsha L. Richmond ,f,no,,,,
305,Suresh K. Bhargava ,m,no,,,,
306,Aaron Dominguez ,m,no,,,,
307,Johney B. Green ,m,no,,,,
308,James D. Kindscher ,m,no,,,,
311,Erik B. Svedberg ,m,no,,,,
319,Leana Golubchik ,f,no,,,,
321,Murat Kantarcioglu ,m,no,,,,
326,John Douglas Owens ,m,no,,,,
327,Timothy Mark Pinkston ,m,yes,2019,November,HRShami,as Thimothy M Pinkston
328,William C. Regli ,m,no,,,,
330,Anuj Srivastava ,m,no,,,,
337,Bryan Gick ,m,no,,,,
339,Joan A. Sereno ,f,no,,,,
340,Matthew W. Wagers ,m,no,,,,
344,Paul K. Newton ,m,no,,,,
345,Esmond G. Ng ,m,no,,,,
348,Jack Xin ,m,no,,,,
350,Barbara D. Beck ,f,no,,,,
352,Barry B. Bercu ,m,no,,,,
353,Keith C. Cheng ,m,no,,,,
354,Shi-Yuan Cheng ,m,no,,,,
357,Dongsheng Duan ,m,no,,,,
358,Carol Fuzeti Elias ,f,no,,,,
359,Hudson Freeze ,m,no,,,,
360,Marcia B. Goldberg ,f,no,,,,
363,Raymond C. Harris ,m,no,,,,
364,Jeffrey P. Krischer ,m,no,,,,
365,Thomas E. Lane ,m,no,,,,
366,W. Jonathan Lederer ,m,no,,,,
367,Bruce T. Liang ,m,no,,,,
368,Jeffrey D. Lifson ,m,no,,,,
369,Faina Linkov ,f,no,,,,
370,Shan-Lu Liu ,m,no,,,,
371,Karl L. Magleby ,m,no,,,,
372,Sendurai Mani ,m,no,,,,
374,Rodger P. McEver ,m,no,,,,
375,Ross Erwin McKinney Jr. ,m,yes,2018,february,Vothlee,as ross e. mckinney
376,Hiroyoshi Nishikawa ,m,no,,,,
377,Richard M. Peek ,m,no,,,,
378,Sallie R. Permar ,f,yes,2020,September,Natureium,as sallie permar
379,W. Kimryn Rathmell ,f,no,,,,
381,John Jeffrey Reese ,m,no,,,,
382,Alan Saghatelian ,m,no,,,,
383,Suzanne Scarlata ,f,no,,,,
384,Brian Leslie Strom ,m,no,2019,february,vincelord,as brian l. strom
385,Jie Tian ,m,no,,,,
386,Jerrold Ross Turner ,m,no,,,,
387,Matthew Bret Weinger ,m,no,,,,
389,Michel Baudry ,m,no,,,,
390,Nicole Calakos ,f,no,,,,
391,Gabriel Corfas ,m,no,,,,
392,Aaron DiAntonio ,m,no,,,,
395,Eberhard Erich Fetz ,m,yes,2021,january,HRShami,as eberhard fetz
396,Alan L. Goldin ,m,no,,,,
397,Steve A. N. Goldstein ,m,no,,,,
398,John Krystal ,m,no,,,,
399,Debomoy (Deb) K. Lahiri ,?,no,,,,
400,Stephen G. Lisberger ,m,no,,,,
401,Wendy Blair Macklin ,f,no,,,,
403,Nirao M. Shah ,m,no,,,,
405,Paul Taghert ,m,no,,,,
406,Rachel Tyndale ,f,no,,,,
407,Linda Jo Van Eldik ,f,no,,,,
409,Joseph R. Haywood ,m,no,,,,
411,Lyn H. Jones ,f,no,,,,
412,M. N. V. Ravi Kumar ,m,no,,,,
413,Susan L. Mooberry ,f,no,,,,
414,Walter H. Moos ,m,no,,,,
415,Raymond Felix Schinazi ,m,yes,2019,july,AllenKong11,as Raymond F Schinazi
416,Thomas D. Schmittgen ,m,no,,,,
419,Steven E. Boggs ,m,yes,2019,july,TJMSmith,as Steven Boggs
420,Jesse Brewer ,m,no,,,,
422,Andre De Gouvea ,m,no,,,,
424,Chris L. Fryer ,m,no,,,,
425,Alexandra Gade ,f,no,,,,
428,Tony Gherghetta ,m,no,,,,
429,Marcelo Jaime ,m,no,,,,
430,Spencer R. Klein ,m,no,,,,
431,Yuri V. Kovchegov ,m,yes,2013,December,Mishae,as Yuri Kovchegov
433,Konrad W. Lehnert ,m,no,,,,
436,Michael A. McGuire ,m,no,,,,
438,Jason Petta ,m,no,,,,
439,Thomas Proffen ,m,no,,,,
440,Laura J. Pyrak-Nolte ,f,yes,2020,november,jesswade,as Laura Pyrak-Nolte
443,Jonathan V. Selinger ,m,no,,,,
444,Arthur John Stewart Smith ,m,no,,,,
447,Yuhai Tu ,m,no,,,,
448,Clare Yu ,f,no,,,,
449,Anvar A. Zakhidov ,m,yes,2017,april,topcipher,no middle name
450,Tammy D. Allen ,f,no,,,,
451,Peter R. Finn ,m,no,,,,
452,Howard Goldstein ,m,no,,,,
453,illiam (Bill) P. Hetrick ,m,no,,,,
455,Elaine Hull ,f,no,,,,
456,Blair T. Johnson ,m,no,,,,
457,Angeline S. Lillard ,f,yes,2017,january,UVA-CDL,as angeline stoll lillard
458,Raymond G. Miltenberger ,m,no,,,,
459,Jay Myung ,m,no,,,,
460,Steven L. Neuberg ,m,yes,2020,january,Reggie.x.kierkegaard,no middle name
462,Cathy Spatz Widom ,f,yes,2015,December,Georgeleander,
463,John Maron Abowd ,m,yes,2013,May,roadcat103,as John M. Abowd
464,Melissa S. Anderson ,f,no,,,,
467,Nazli Choucri ,f,no,,,,
468,Elizabeth Cooksey ,f,no,,,,
469,Paul Allen David ,m,no,,,,
470,Joane P. Nagel ,f,no,,,,
472,Susan E. Short ,f,no,,,,
473,Gregg M. Garfin ,m,no,,,,
476,Mary E. Maxon ,f,no,,,,
477,James Bradley Miller ,m,no,,,,
478,Oladele (Dele) A. Ogunseitan ,m,yes,2020,november,jesswade,as Dele Ogunseitan
479,Lawrence J. Satkowiak ,m,no,,,,
480,Vaughan Charles Turekian ,m,no,,,,
483,Deborah J. Donnell ,f,yes,2021,april,david eppstein,
484,Timothy C. Hesterberg ,m,no,,,,
485,Qi Long ,m,no,,,,
487,Richard L. Smith ,m,no,,,,
1,Ann M. Bartuska,f,yes,2020,february,ariel cetrone,
3,Amy O. Charkowski ,f,yes,2020,December,jesswade,
9,Nancy Collins Johnson ,f,yes,2020,november,jesswade,
22,Margaret W. Conkey,f,yes,2006,march,forthright,
